{'statesScanned': 52541, 'win?': 0, 'timeTaken': '0:00:15.318000', 'score': 1850, 'startTime': '2016-11-24 17:31:25', 'maxTile': 1024, 'moves': 829}
{'statesScanned': 51049, 'win?': 0, 'timeTaken': '0:00:13.367000', 'score': 1962, 'startTime': '2016-11-24 17:31:41', 'maxTile': 1024, 'moves': 891}
{'statesScanned': 52250, 'win?': 0, 'timeTaken': '0:00:13.360000', 'score': 1930, 'startTime': '2016-11-24 17:31:55', 'maxTile': 1024, 'moves': 868}
{'statesScanned': 59059, 'win?': 1, 'timeTaken': '0:00:14.648000', 'score': 2420, 'startTime': '2016-11-24 17:32:10', 'maxTile': 2048, 'moves': 1100}
{'statesScanned': 21113, 'win?': 0, 'timeTaken': '0:00:05.905000', 'score': 762, 'startTime': '2016-11-24 17:32:24', 'maxTile': 256, 'moves': 340}
{'statesScanned': 54674, 'win?': 0, 'timeTaken': '0:00:14.307000', 'score': 2152, 'startTime': '2016-11-24 17:32:31', 'maxTile': 1024, 'moves': 972}
{'statesScanned': 55653, 'win?': 0, 'timeTaken': '0:00:14.049000', 'score': 1994, 'startTime': '2016-11-24 17:32:47', 'maxTile': 1024, 'moves': 908}
{'statesScanned': 47402, 'win?': 0, 'timeTaken': '0:00:12.444000', 'score': 1800, 'startTime': '2016-11-24 17:33:02', 'maxTile': 1024, 'moves': 825}
{'statesScanned': 40596, 'win?': 0, 'timeTaken': '0:00:10.814000', 'score': 1528, 'startTime': '2016-11-24 17:33:15', 'maxTile': 512, 'moves': 698}
{'statesScanned': 45706, 'win?': 0, 'timeTaken': '0:00:11.458000', 'score': 1574, 'startTime': '2016-11-24 17:33:27', 'maxTile': 1024, 'moves': 705}
{'statesScanned': 59065, 'win?': 0, 'timeTaken': '0:00:15.082000', 'score': 2172, 'startTime': '2016-11-24 17:33:39', 'maxTile': 1024, 'moves': 991}
{'statesScanned': 56501, 'win?': 0, 'timeTaken': '0:00:14.439000', 'score': 2112, 'startTime': '2016-11-24 17:33:56', 'maxTile': 1024, 'moves': 958}
{'statesScanned': 32294, 'win?': 0, 'timeTaken': '0:00:08.486000', 'score': 1132, 'startTime': '2016-11-24 17:34:11', 'maxTile': 512, 'moves': 513}
{'statesScanned': 26867, 'win?': 0, 'timeTaken': '0:00:07.194000', 'score': 930, 'startTime': '2016-11-24 17:34:20', 'maxTile': 512, 'moves': 424}
{'statesScanned': 31600, 'win?': 0, 'timeTaken': '0:00:08.426000', 'score': 1162, 'startTime': '2016-11-24 17:34:29', 'maxTile': 512, 'moves': 521}
{'statesScanned': 61573, 'win?': 0, 'timeTaken': '0:00:15.933000', 'score': 2206, 'startTime': '2016-11-24 17:34:38', 'maxTile': 1024, 'moves': 993}
{'statesScanned': 54833, 'win?': 0, 'timeTaken': '0:00:14.051000', 'score': 1932, 'startTime': '2016-11-24 17:34:55', 'maxTile': 1024, 'moves': 885}
{'statesScanned': 54597, 'win?': 0, 'timeTaken': '0:00:14.173000', 'score': 1956, 'startTime': '2016-11-24 17:35:10', 'maxTile': 1024, 'moves': 888}
{'statesScanned': 27038, 'win?': 0, 'timeTaken': '0:00:07.286000', 'score': 904, 'startTime': '2016-11-24 17:35:25', 'maxTile': 512, 'moves': 413}
{'statesScanned': 28211, 'win?': 0, 'timeTaken': '0:00:08.082000', 'score': 1184, 'startTime': '2016-11-24 17:35:34', 'maxTile': 512, 'moves': 536}
{'statesScanned': 33260, 'win?': 0, 'timeTaken': '0:00:09.203000', 'score': 1260, 'startTime': '2016-11-24 17:35:43', 'maxTile': 512, 'moves': 586}
{'statesScanned': 43421, 'win?': 0, 'timeTaken': '0:00:11.145000', 'score': 1494, 'startTime': '2016-11-24 17:35:53', 'maxTile': 1024, 'moves': 679}
{'statesScanned': 67606, 'win?': 0, 'timeTaken': '0:00:17.673000', 'score': 2602, 'startTime': '2016-11-24 17:36:05', 'maxTile': 1024, 'moves': 1191}
{'statesScanned': 47724, 'win?': 0, 'timeTaken': '0:00:12.028000', 'score': 1642, 'startTime': '2016-11-24 17:36:24', 'maxTile': 1024, 'moves': 736}
{'statesScanned': 32141, 'win?': 0, 'timeTaken': '0:00:08.649000', 'score': 1190, 'startTime': '2016-11-24 17:36:37', 'maxTile': 512, 'moves': 538}
{'statesScanned': 49485, 'win?': 0, 'timeTaken': '0:00:13.060000', 'score': 1940, 'startTime': '2016-11-24 17:36:46', 'maxTile': 1024, 'moves': 879}
{'statesScanned': 63640, 'win?': 0, 'timeTaken': '0:00:15.995000', 'score': 2288, 'startTime': '2016-11-24 17:37:01', 'maxTile': 1024, 'moves': 1041}
{'statesScanned': 21239, 'win?': 0, 'timeTaken': '0:00:05.748000', 'score': 650, 'startTime': '2016-11-24 17:37:18', 'maxTile': 256, 'moves': 300}
{'statesScanned': 51592, 'win?': 0, 'timeTaken': '0:00:13.395000', 'score': 1980, 'startTime': '2016-11-24 17:37:24', 'maxTile': 1024, 'moves': 886}
{'statesScanned': 61744, 'win?': 0, 'timeTaken': '0:00:15.667000', 'score': 2250, 'startTime': '2016-11-24 17:37:39', 'maxTile': 1024, 'moves': 1017}
{'statesScanned': 41271, 'win?': 0, 'timeTaken': '0:00:10.956000', 'score': 1520, 'startTime': '2016-11-24 17:37:55', 'maxTile': 512, 'moves': 693}
