XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
{'statesScanned': 248419, 'win?': 0, 'timeTaken': '0:00:19.290000', 'score': 1432, 'startTime': '2016-11-24 22:17:32', 'maxTile': 512, 'moves': 666}
{'statesScanned': 416716, 'win?': 1, 'timeTaken': '0:00:32.657000', 'score': 3132, 'startTime': '2016-11-24 22:17:53', 'maxTile': 2048, 'moves': 1431}
{'statesScanned': 201832, 'win?': 0, 'timeTaken': '0:00:15.381000', 'score': 1330, 'startTime': '2016-11-24 22:18:26', 'maxTile': 512, 'moves': 608}
{'statesScanned': 416560, 'win?': 1, 'timeTaken': '0:00:32.124000', 'score': 2976, 'startTime': '2016-11-24 22:18:43', 'maxTile': 2048, 'moves': 1359}
{'statesScanned': 180677, 'win?': 0, 'timeTaken': '0:00:13.537000', 'score': 1122, 'startTime': '2016-11-24 22:19:16', 'maxTile': 512, 'moves': 506}
{'statesScanned': 367145, 'win?': 0, 'timeTaken': '0:00:26.220000', 'score': 2120, 'startTime': '2016-11-24 22:19:30', 'maxTile': 1024, 'moves': 959}
{'statesScanned': 476201, 'win?': 1, 'timeTaken': '0:00:37.718000', 'score': 3654, 'startTime': '2016-11-24 22:19:58', 'maxTile': 2048, 'moves': 1658}
{'statesScanned': 159573, 'win?': 0, 'timeTaken': '0:00:11.698000', 'score': 914, 'startTime': '2016-11-24 22:20:36', 'maxTile': 256, 'moves': 409}
{'statesScanned': 396794, 'win?': 1, 'timeTaken': '0:00:29.897000', 'score': 2764, 'startTime': '2016-11-24 22:20:49', 'maxTile': 2048, 'moves': 1243}
{'statesScanned': 186445, 'win?': 0, 'timeTaken': '0:00:12.676000', 'score': 822, 'startTime': '2016-11-24 22:21:20', 'maxTile': 512, 'moves': 376}
{'statesScanned': 195021, 'win?': 0, 'timeTaken': '0:00:14.869000', 'score': 1128, 'startTime': '2016-11-24 22:21:34', 'maxTile': 512, 'moves': 512}
{'statesScanned': 520683, 'win?': 1, 'timeTaken': '0:00:38.546000', 'score': 3448, 'startTime': '2016-11-24 22:21:49', 'maxTile': 2048, 'moves': 1564}
{'statesScanned': 221724, 'win?': 0, 'timeTaken': '0:00:15.716000', 'score': 1180, 'startTime': '2016-11-24 22:22:29', 'maxTile': 512, 'moves': 534}
{'statesScanned': 208042, 'win?': 0, 'timeTaken': '0:00:14.825000', 'score': 1156, 'startTime': '2016-11-24 22:22:46', 'maxTile': 512, 'moves': 517}
{'statesScanned': 203131, 'win?': 0, 'timeTaken': '0:00:15.172000', 'score': 1270, 'startTime': '2016-11-24 22:23:02', 'maxTile': 512, 'moves': 570}
{'statesScanned': 323830, 'win?': 0, 'timeTaken': '0:00:24.307000', 'score': 2170, 'startTime': '2016-11-24 22:23:18', 'maxTile': 1024, 'moves': 990}
{'statesScanned': 120201, 'win?': 0, 'timeTaken': '0:00:08.314000', 'score': 506, 'startTime': '2016-11-24 22:23:43', 'maxTile': 256, 'moves': 229}
{'statesScanned': 183982, 'win?': 0, 'timeTaken': '0:00:13.481000', 'score': 1070, 'startTime': '2016-11-24 22:23:52', 'maxTile': 512, 'moves': 483}
{'statesScanned': 471506, 'win?': 1, 'timeTaken': '0:00:34.834000', 'score': 3064, 'startTime': '2016-11-24 22:24:07', 'maxTile': 2048, 'moves': 1392}
{'statesScanned': 191839, 'win?': 0, 'timeTaken': '0:00:13.212000', 'score': 944, 'startTime': '2016-11-24 22:24:43', 'maxTile': 512, 'moves': 428}
{'statesScanned': 192755, 'win?': 0, 'timeTaken': '0:00:14.414000', 'score': 1198, 'startTime': '2016-11-24 22:24:57', 'maxTile': 512, 'moves': 545}
{'statesScanned': 197940, 'win?': 0, 'timeTaken': '0:00:16.056000', 'score': 1566, 'startTime': '2016-11-24 22:25:12', 'maxTile': 512, 'moves': 705}
{'statesScanned': 244569, 'win?': 0, 'timeTaken': '0:00:17.718000', 'score': 1388, 'startTime': '2016-11-24 22:25:30', 'maxTile': 1024, 'moves': 634}
{'statesScanned': 287920, 'win?': 0, 'timeTaken': '0:00:21.018000', 'score': 1724, 'startTime': '2016-11-24 22:25:48', 'maxTile': 1024, 'moves': 777}
{'statesScanned': 320896, 'win?': 0, 'timeTaken': '0:00:24.375000', 'score': 2136, 'startTime': '2016-11-24 22:26:10', 'maxTile': 1024, 'moves': 973}
{'statesScanned': 200795, 'win?': 0, 'timeTaken': '0:00:14.418000', 'score': 1102, 'startTime': '2016-11-24 22:26:36', 'maxTile': 512, 'moves': 502}
{'statesScanned': 185394, 'win?': 0, 'timeTaken': '0:00:13.895000', 'score': 1196, 'startTime': '2016-11-24 22:26:51', 'maxTile': 512, 'moves': 533}
