{'statesScanned': 35936, 'win?': 0, 'timeTaken': '0:00:09.508000', 'score': 1246, 'startTime': '2016-11-24 21:57:00', 'maxTile': 512, 'moves': 556}
{'statesScanned': 36154, 'win?': 0, 'timeTaken': '0:00:08.462000', 'score': 1160, 'startTime': '2016-11-24 21:57:10', 'maxTile': 512, 'moves': 531}
{'statesScanned': 35890, 'win?': 0, 'timeTaken': '0:00:08.595000', 'score': 1278, 'startTime': '2016-11-24 21:57:20', 'maxTile': 512, 'moves': 583}
{'statesScanned': 58592, 'win?': 0, 'timeTaken': '0:00:13.880000', 'score': 2216, 'startTime': '2016-11-24 21:57:29', 'maxTile': 1024, 'moves': 1018}
{'statesScanned': 28293, 'win?': 0, 'timeTaken': '0:00:06.763000', 'score': 902, 'startTime': '2016-11-24 21:57:44', 'maxTile': 512, 'moves': 406}
{'statesScanned': 43554, 'win?': 0, 'timeTaken': '0:00:10.144000', 'score': 1568, 'startTime': '2016-11-24 21:57:52', 'maxTile': 1024, 'moves': 694}
{'statesScanned': 48948, 'win?': 0, 'timeTaken': '0:00:11.139000', 'score': 1630, 'startTime': '2016-11-24 21:58:03', 'maxTile': 1024, 'moves': 736}
{'statesScanned': 37379, 'win?': 0, 'timeTaken': '0:00:08.701000', 'score': 1266, 'startTime': '2016-11-24 21:58:15', 'maxTile': 512, 'moves': 574}
{'statesScanned': 44490, 'win?': 0, 'timeTaken': '0:00:10.422000', 'score': 1634, 'startTime': '2016-11-24 21:58:25', 'maxTile': 1024, 'moves': 735}
{'statesScanned': 34774, 'win?': 0, 'timeTaken': '0:00:08.427000', 'score': 1318, 'startTime': '2016-11-24 21:58:36', 'maxTile': 512, 'moves': 597}
{'statesScanned': 25937, 'win?': 0, 'timeTaken': '0:00:06.461000', 'score': 940, 'startTime': '2016-11-24 21:58:46', 'maxTile': 256, 'moves': 427}
{'statesScanned': 23920, 'win?': 0, 'timeTaken': '0:00:05.899000', 'score': 768, 'startTime': '2016-11-24 21:58:53', 'maxTile': 256, 'moves': 356}
{'statesScanned': 32648, 'win?': 0, 'timeTaken': '0:00:07.792000', 'score': 1132, 'startTime': '2016-11-24 21:59:00', 'maxTile': 512, 'moves': 513}
{'statesScanned': 59998, 'win?': 0, 'timeTaken': '0:00:13.760000', 'score': 2144, 'startTime': '2016-11-24 21:59:09', 'maxTile': 1024, 'moves': 973}
{'statesScanned': 36183, 'win?': 0, 'timeTaken': '0:00:08.745000', 'score': 1292, 'startTime': '2016-11-24 21:59:24', 'maxTile': 512, 'moves': 595}
{'statesScanned': 25139, 'win?': 0, 'timeTaken': '0:00:06.226000', 'score': 882, 'startTime': '2016-11-24 21:59:33', 'maxTile': 512, 'moves': 398}
{'statesScanned': 64937, 'win?': 0, 'timeTaken': '0:00:14.752000', 'score': 2346, 'startTime': '2016-11-24 21:59:41', 'maxTile': 1024, 'moves': 1056}
{'statesScanned': 36004, 'win?': 0, 'timeTaken': '0:00:08.718000', 'score': 1346, 'startTime': '2016-11-24 21:59:56', 'maxTile': 512, 'moves': 608}
{'statesScanned': 37303, 'win?': 0, 'timeTaken': '0:00:08.714000', 'score': 1230, 'startTime': '2016-11-24 22:00:06', 'maxTile': 512, 'moves': 572}
