XXXXXXXX
{'statesScanned': 1157005, 'win?': 1, 'timeTaken': '0:03:12.580000', 'score': 3070, 'startTime': '2016-11-24 23:12:08', 'maxTile': 2048, 'moves': 1392}
{'statesScanned': 1496340, 'win?': 1, 'timeTaken': '0:04:11.502000', 'score': 4280, 'startTime': '2016-11-24 23:15:22', 'maxTile': 2048, 'moves': 1924}
{'statesScanned': 1522698, 'win?': 1, 'timeTaken': '0:04:16.362000', 'score': 4212, 'startTime': '2016-11-24 23:19:35', 'maxTile': 2048, 'moves': 1905}
{'statesScanned': 1224433, 'win?': 1, 'timeTaken': '0:03:25.176000', 'score': 3748, 'startTime': '2016-11-24 23:23:52', 'maxTile': 2048, 'moves': 1708}
{'statesScanned': 772766, 'win?': 0, 'timeTaken': '0:02:09.654000', 'score': 2276, 'startTime': '2016-11-24 23:27:18', 'maxTile': 1024, 'moves': 1042}
{'statesScanned': 869772, 'win?': 0, 'timeTaken': '0:02:24.358000', 'score': 2226, 'startTime': '2016-11-24 23:29:29', 'maxTile': 1024, 'moves': 1005}
{'statesScanned': 1280707, 'win?': 1, 'timeTaken': '0:03:34.761000', 'score': 4186, 'startTime': '2016-11-24 23:31:54', 'maxTile': 2048, 'moves': 1912}
{'statesScanned': 1239510, 'win?': 1, 'timeTaken': '0:03:26.146000', 'score': 2946, 'startTime': '2016-11-24 23:35:30', 'maxTile': 2048, 'moves': 1341}
{'statesScanned': 823420, 'win?': 0, 'timeTaken': '0:02:17.278000', 'score': 2308, 'startTime': '2016-11-24 23:38:57', 'maxTile': 1024, 'moves': 1039}
{'statesScanned': 896370, 'win?': 0, 'timeTaken': '0:02:30.729000', 'score': 2330, 'startTime': '2016-11-24 23:41:15', 'maxTile': 1024, 'moves': 1048}
{'statesScanned': 721007, 'win?': 0, 'timeTaken': '0:02:00.493000', 'score': 2364, 'startTime': '2016-11-24 23:43:47', 'maxTile': 1024, 'moves': 1075}
{'statesScanned': 1549612, 'win?': 1, 'timeTaken': '0:04:18.702000', 'score': 4110, 'startTime': '2016-11-24 23:45:49', 'maxTile': 2048, 'moves': 1889}
