{'statesScanned': 3483654, 'win?': 1, 'timeTaken': '0:03:05.054000', 'score': 4170, 'startTime': '2016-11-26 10:53:06', 'maxTile': 2048, 'moves': 1888}
{'statesScanned': 3021341, 'win?': 1, 'timeTaken': '0:02:45.354000', 'score': 4066, 'startTime': '2016-11-26 10:56:12', 'maxTile': 2048, 'moves': 1847}
{'statesScanned': 2641324, 'win?': 1, 'timeTaken': '0:02:21.925000', 'score': 3436, 'startTime': '2016-11-26 10:58:58', 'maxTile': 2048, 'moves': 1558}
{'statesScanned': 3281738, 'win?': 1, 'timeTaken': '0:02:53.160000', 'score': 3768, 'startTime': '2016-11-26 11:01:21', 'maxTile': 2048, 'moves': 1706}
{'statesScanned': 3099022, 'win?': 1, 'timeTaken': '0:02:48.161000', 'score': 4054, 'startTime': '2016-11-26 11:04:16', 'maxTile': 2048, 'moves': 1849}
{'statesScanned': 2298417, 'win?': 0, 'timeTaken': '0:01:59.375000', 'score': 2302, 'startTime': '2016-11-26 11:07:05', 'maxTile': 1024, 'moves': 1054}
{'statesScanned': 1876477, 'win?': 0, 'timeTaken': '0:01:40.318000', 'score': 2392, 'startTime': '2016-11-26 11:09:05', 'maxTile': 1024, 'moves': 1095}
{'statesScanned': 2156775, 'win?': 0, 'timeTaken': '0:01:51.381000', 'score': 2152, 'startTime': '2016-11-26 11:10:46', 'maxTile': 1024, 'moves': 976}
{'statesScanned': 2345946, 'win?': 0, 'timeTaken': '0:02:01.552000', 'score': 2412, 'startTime': '2016-11-26 11:12:39', 'maxTile': 1024, 'moves': 1106}
{'statesScanned': 3244792, 'win?': 1, 'timeTaken': '0:02:56.401000', 'score': 4510, 'startTime': '2016-11-26 11:14:41', 'maxTile': 2048, 'moves': 2040}
{'statesScanned': 1979020, 'win?': 0, 'timeTaken': '0:01:42.980000', 'score': 2046, 'startTime': '2016-11-26 11:17:39', 'maxTile': 1024, 'moves': 930}
{'statesScanned': 2410298, 'win?': 0, 'timeTaken': '0:02:03.141000', 'score': 2202, 'startTime': '2016-11-26 11:19:23', 'maxTile': 1024, 'moves': 1004}
{'statesScanned': 1401774, 'win?': 0, 'timeTaken': '0:01:09.713000', 'score': 1076, 'startTime': '2016-11-26 11:21:27', 'maxTile': 512, 'moves': 485}
{'statesScanned': 2783360, 'win?': 1, 'timeTaken': '0:02:27.523000', 'score': 3130, 'startTime': '2016-11-26 11:22:38', 'maxTile': 2048, 'moves': 1421}
{'statesScanned': 1843019, 'win?': 0, 'timeTaken': '0:01:34.586000', 'score': 1778, 'startTime': '2016-11-26 11:25:06', 'maxTile': 1024, 'moves': 809}
{'statesScanned': 3183497, 'win?': 1, 'timeTaken': '0:02:54.035000', 'score': 4280, 'startTime': '2016-11-26 11:26:42', 'maxTile': 2048, 'moves': 1959}
{'statesScanned': 1184669, 'win?': 0, 'timeTaken': '0:01:00.486000', 'score': 1204, 'startTime': '2016-11-26 11:29:37', 'maxTile': 512, 'moves': 548}
{'statesScanned': 1923138, 'win?': 0, 'timeTaken': '0:01:40.099000', 'score': 1986, 'startTime': '2016-11-26 11:30:38', 'maxTile': 1024, 'moves': 905}
{'statesScanned': 3636211, 'win?': 1, 'timeTaken': '0:03:16.180000', 'score': 4218, 'startTime': '2016-11-26 11:32:19', 'maxTile': 2048, 'moves': 1921}
{'statesScanned': 3438362, 'win?': 1, 'timeTaken': '0:03:02.719000', 'score': 3964, 'startTime': '2016-11-26 11:35:36', 'maxTile': 2048, 'moves': 1802}
{'statesScanned': 2122064, 'win?': 0, 'timeTaken': '0:01:46.615000', 'score': 1722, 'startTime': '2016-11-26 11:38:40', 'maxTile': 1024, 'moves': 785}
{'statesScanned': 2784995, 'win?': 1, 'timeTaken': '0:02:23.477000', 'score': 2640, 'startTime': '2016-11-26 11:40:28', 'maxTile': 2048, 'moves': 1187}
{'statesScanned': 2858266, 'win?': 1, 'timeTaken': '0:02:34.098000', 'score': 3794, 'startTime': '2016-11-26 11:42:52', 'maxTile': 2048, 'moves': 1734}
{'statesScanned': 2754243, 'win?': 1, 'timeTaken': '0:02:25.347000', 'score': 3082, 'startTime': '2016-11-26 11:45:27', 'maxTile': 2048, 'moves': 1414}
{'statesScanned': 2173889, 'win?': 0, 'timeTaken': '0:01:53.185000', 'score': 2280, 'startTime': '2016-11-26 11:47:54', 'maxTile': 1024, 'moves': 1019}
{'statesScanned': 2708383, 'win?': 1, 'timeTaken': '0:02:23.842000', 'score': 3182, 'startTime': '2016-11-26 11:49:48', 'maxTile': 2048, 'moves': 1459}
{'statesScanned': 3656941, 'win?': 1, 'timeTaken': '0:03:21.123000', 'score': 5354, 'startTime': '2016-11-26 11:52:13', 'maxTile': 4096, 'moves': 2427}
{'statesScanned': 3705625, 'win?': 1, 'timeTaken': '0:03:15.354000', 'score': 4042, 'startTime': '2016-11-26 11:55:35', 'maxTile': 2048, 'moves': 1826}
{'statesScanned': 3220276, 'win?': 1, 'timeTaken': '0:02:48.536000', 'score': 3500, 'startTime': '2016-11-26 11:58:51', 'maxTile': 2048, 'moves': 1586}
{'statesScanned': 2468613, 'win?': 0, 'timeTaken': '0:02:07.560000', 'score': 2428, 'startTime': '2016-11-26 12:01:41', 'maxTile': 1024, 'moves': 1106}
{'statesScanned': 3429967, 'win?': 1, 'timeTaken': '0:03:02.088000', 'score': 3816, 'startTime': '2016-11-26 12:03:49', 'maxTile': 2048, 'moves': 1727}
