{'statesScanned': 202004, 'win?': 1, 'timeTaken': '0:00:42.755000', 'score': 2602, 'startTime': '2016-11-27 20:02:33', 'maxTile': 2048, 'moves': 1182}
{'statesScanned': 189788, 'win?': 0, 'timeTaken': '0:00:39.159000', 'score': 2132, 'startTime': '2016-11-27 20:03:17', 'maxTile': 1024, 'moves': 991}
{'statesScanned': 143456, 'win?': 0, 'timeTaken': '0:00:22.404000', 'score': 1676, 'startTime': '2016-11-27 20:03:57', 'maxTile': 1024, 'moves': 760}
{'statesScanned': 190702, 'win?': 0, 'timeTaken': '0:00:31.602000', 'score': 2744, 'startTime': '2016-11-27 20:04:21', 'maxTile': 1024, 'moves': 1233}
{'statesScanned': 106461, 'win?': 0, 'timeTaken': '0:00:17.149000', 'score': 1324, 'startTime': '2016-11-27 20:04:53', 'maxTile': 512, 'moves': 595}
{'statesScanned': 181946, 'win?': 0, 'timeTaken': '0:00:27.871000', 'score': 2052, 'startTime': '2016-11-27 20:05:12', 'maxTile': 1024, 'moves': 921}
{'statesScanned': 118549, 'win?': 0, 'timeTaken': '0:00:18.363000', 'score': 1320, 'startTime': '2016-11-27 20:05:40', 'maxTile': 512, 'moves': 603}
{'statesScanned': 226831, 'win?': 1, 'timeTaken': '0:00:34.792000', 'score': 2734, 'startTime': '2016-11-27 20:06:00', 'maxTile': 2048, 'moves': 1233}
{'statesScanned': 321580, 'win?': 1, 'timeTaken': '0:00:50.190000', 'score': 4156, 'startTime': '2016-11-27 20:06:36', 'maxTile': 2048, 'moves': 1898}
{'statesScanned': 101507, 'win?': 0, 'timeTaken': '0:00:15.871000', 'score': 1168, 'startTime': '2016-11-27 20:07:27', 'maxTile': 512, 'moves': 524}
{'statesScanned': 181764, 'win?': 0, 'timeTaken': '0:00:28.309000', 'score': 2234, 'startTime': '2016-11-27 20:07:44', 'maxTile': 1024, 'moves': 998}
{'statesScanned': 104907, 'win?': 0, 'timeTaken': '0:00:16.301000', 'score': 1160, 'startTime': '2016-11-27 20:08:13', 'maxTile': 512, 'moves': 524}
{'statesScanned': 100595, 'win?': 0, 'timeTaken': '0:00:15.754000', 'score': 1164, 'startTime': '2016-11-27 20:08:30', 'maxTile': 512, 'moves': 518}
{'statesScanned': 102752, 'win?': 0, 'timeTaken': '0:00:15.885000', 'score': 978, 'startTime': '2016-11-27 20:08:47', 'maxTile': 512, 'moves': 444}
{'statesScanned': 103325, 'win?': 0, 'timeTaken': '0:00:18.377000', 'score': 958, 'startTime': '2016-11-27 20:09:04', 'maxTile': 512, 'moves': 435}
{'statesScanned': 75076, 'win?': 0, 'timeTaken': '0:00:14.937000', 'score': 770, 'startTime': '2016-11-27 20:09:23', 'maxTile': 256, 'moves': 342}
{'statesScanned': 104601, 'win?': 0, 'timeTaken': '0:00:14.122000', 'score': 1228, 'startTime': '2016-11-27 20:09:39', 'maxTile': 512, 'moves': 557}
{'statesScanned': 116045, 'win?': 0, 'timeTaken': '0:00:18.319000', 'score': 1158, 'startTime': '2016-11-27 20:09:54', 'maxTile': 512, 'moves': 520}
{'statesScanned': 168109, 'win?': 0, 'timeTaken': '0:00:27.722000', 'score': 2108, 'startTime': '2016-11-27 20:10:14', 'maxTile': 1024, 'moves': 961}
{'statesScanned': 184014, 'win?': 0, 'timeTaken': '0:00:30.021000', 'score': 2216, 'startTime': '2016-11-27 20:10:42', 'maxTile': 1024, 'moves': 1008}
