{'statesScanned': 339172, 'win?': 1, 'timeTaken': '0:00:53.629000', 'score': 4088, 'startTime': '2016-11-26 14:52:24', 'maxTile': 2048, 'moves': 1841}
{'statesScanned': 347909, 'win?': 1, 'timeTaken': '0:00:55.083000', 'score': 4250, 'startTime': '2016-11-26 14:53:18', 'maxTile': 2048, 'moves': 1939}
{'statesScanned': 270924, 'win?': 1, 'timeTaken': '0:00:43.156000', 'score': 3258, 'startTime': '2016-11-26 14:54:14', 'maxTile': 2048, 'moves': 1469}
{'statesScanned': 241440, 'win?': 1, 'timeTaken': '0:00:37.695000', 'score': 2710, 'startTime': '2016-11-26 14:54:58', 'maxTile': 2048, 'moves': 1239}
{'statesScanned': 264903, 'win?': 1, 'timeTaken': '0:00:41.338000', 'score': 2860, 'startTime': '2016-11-26 14:55:37', 'maxTile': 2048, 'moves': 1331}
{'statesScanned': 197377, 'win?': 0, 'timeTaken': '0:00:30.751000', 'score': 2152, 'startTime': '2016-11-26 14:56:19', 'maxTile': 1024, 'moves': 974}
{'statesScanned': 450518, 'win?': 1, 'timeTaken': '0:01:13.496000', 'score': 6204, 'startTime': '2016-11-26 14:56:51', 'maxTile': 4096, 'moves': 2835}
{'statesScanned': 121206, 'win?': 0, 'timeTaken': '0:00:19.473000', 'score': 1446, 'startTime': '2016-11-26 14:58:06', 'maxTile': 512, 'moves': 663}
{'statesScanned': 197541, 'win?': 0, 'timeTaken': '0:00:40.448000', 'score': 2458, 'startTime': '2016-11-26 14:58:26', 'maxTile': 1024, 'moves': 1123}
{'statesScanned': 291758, 'win?': 1, 'timeTaken': '0:00:48.979000', 'score': 3448, 'startTime': '2016-11-26 14:59:08', 'maxTile': 2048, 'moves': 1576}
{'statesScanned': 321322, 'win?': 1, 'timeTaken': '0:00:53.785000', 'score': 3992, 'startTime': '2016-11-26 14:59:58', 'maxTile': 2048, 'moves': 1806}
{'statesScanned': 301292, 'win?': 1, 'timeTaken': '0:00:51.233000', 'score': 3988, 'startTime': '2016-11-26 15:00:52', 'maxTile': 2048, 'moves': 1807}
{'statesScanned': 79467, 'win?': 0, 'timeTaken': '0:00:13.744000', 'score': 990, 'startTime': '2016-11-26 15:01:45', 'maxTile': 256, 'moves': 450}
{'statesScanned': 167025, 'win?': 0, 'timeTaken': '0:00:27.626000', 'score': 1864, 'startTime': '2016-11-26 15:01:59', 'maxTile': 1024, 'moves': 847}
{'statesScanned': 105933, 'win?': 0, 'timeTaken': '0:00:19.003000', 'score': 1258, 'startTime': '2016-11-26 15:02:28', 'maxTile': 512, 'moves': 557}
{'statesScanned': 270144, 'win?': 1, 'timeTaken': '0:00:45.949000', 'score': 3596, 'startTime': '2016-11-26 15:02:48', 'maxTile': 2048, 'moves': 1618}
{'statesScanned': 305564, 'win?': 1, 'timeTaken': '0:00:51.581000', 'score': 4074, 'startTime': '2016-11-26 15:03:35', 'maxTile': 2048, 'moves': 1840}
{'statesScanned': 150979, 'win?': 0, 'timeTaken': '0:00:25.519000', 'score': 1702, 'startTime': '2016-11-26 15:04:28', 'maxTile': 1024, 'moves': 767}
{'statesScanned': 239982, 'win?': 1, 'timeTaken': '0:00:38.461000', 'score': 2686, 'startTime': '2016-11-26 15:04:54', 'maxTile': 2048, 'moves': 1227}
{'statesScanned': 98782, 'win?': 0, 'timeTaken': '0:00:15.469000', 'score': 922, 'startTime': '2016-11-26 15:05:34', 'maxTile': 512, 'moves': 420}
{'statesScanned': 304203, 'win?': 1, 'timeTaken': '0:00:49.684000', 'score': 4080, 'startTime': '2016-11-26 15:05:50', 'maxTile': 2048, 'moves': 1851}
{'statesScanned': 342976, 'win?': 1, 'timeTaken': '0:00:55.278000', 'score': 3940, 'startTime': '2016-11-26 15:06:41', 'maxTile': 2048, 'moves': 1796}
{'statesScanned': 162130, 'win?': 0, 'timeTaken': '0:00:26.553000', 'score': 2144, 'startTime': '2016-11-26 15:07:37', 'maxTile': 1024, 'moves': 964}
{'statesScanned': 198832, 'win?': 0, 'timeTaken': '0:00:30.916000', 'score': 2192, 'startTime': '2016-11-26 15:08:05', 'maxTile': 1024, 'moves': 973}
{'statesScanned': 302235, 'win?': 1, 'timeTaken': '0:00:48.423000', 'score': 3734, 'startTime': '2016-11-26 15:08:36', 'maxTile': 2048, 'moves': 1672}
{'statesScanned': 241974, 'win?': 1, 'timeTaken': '0:00:37.935000', 'score': 2782, 'startTime': '2016-11-26 15:09:26', 'maxTile': 2048, 'moves': 1262}
{'statesScanned': 191401, 'win?': 0, 'timeTaken': '0:00:30.251000', 'score': 2278, 'startTime': '2016-11-26 15:10:05', 'maxTile': 1024, 'moves': 1008}
{'statesScanned': 180340, 'win?': 0, 'timeTaken': '0:00:28.354000', 'score': 1984, 'startTime': '2016-11-26 15:10:36', 'maxTile': 1024, 'moves': 911}
{'statesScanned': 112372, 'win?': 0, 'timeTaken': '0:00:18.004000', 'score': 1276, 'startTime': '2016-11-26 15:11:05', 'maxTile': 512, 'moves': 586}
{'statesScanned': 248548, 'win?': 1, 'timeTaken': '0:00:38.962000', 'score': 2868, 'startTime': '2016-11-26 15:11:24', 'maxTile': 2048, 'moves': 1273}
{'statesScanned': 485882, 'win?': 1, 'timeTaken': '0:01:18.063000', 'score': 6362, 'startTime': '2016-11-26 15:12:04', 'maxTile': 4096, 'moves': 2879}
{'statesScanned': 213153, 'win?': 0, 'timeTaken': '0:00:33.066000', 'score': 2296, 'startTime': '2016-11-26 15:13:23', 'maxTile': 1024, 'moves': 1033}
{'statesScanned': 202664, 'win?': 0, 'timeTaken': '0:00:31.659000', 'score': 2232, 'startTime': '2016-11-26 15:13:58', 'maxTile': 1024, 'moves': 1025}
{'statesScanned': 312667, 'win?': 1, 'timeTaken': '0:00:49.127000', 'score': 3720, 'startTime': '2016-11-26 15:14:30', 'maxTile': 2048, 'moves': 1682}
{'statesScanned': 428343, 'win?': 1, 'timeTaken': '0:01:09.664000', 'score': 5948, 'startTime': '2016-11-26 15:15:20', 'maxTile': 4096, 'moves': 2710}
{'statesScanned': 185719, 'win?': 0, 'timeTaken': '0:00:29.107000', 'score': 2146, 'startTime': '2016-11-26 15:16:31', 'maxTile': 1024, 'moves': 971}
{'statesScanned': 247525, 'win?': 1, 'timeTaken': '0:00:39.094000', 'score': 3010, 'startTime': '2016-11-26 15:17:01', 'maxTile': 2048, 'moves': 1356}
{'statesScanned': 306667, 'win?': 1, 'timeTaken': '0:00:48.584000', 'score': 3676, 'startTime': '2016-11-26 15:17:41', 'maxTile': 2048, 'moves': 1658}
{'statesScanned': 321844, 'win?': 1, 'timeTaken': '0:00:50.949000', 'score': 3768, 'startTime': '2016-11-26 15:18:31', 'maxTile': 2048, 'moves': 1714}
{'statesScanned': 350101, 'win?': 1, 'timeTaken': '0:00:55.554000', 'score': 4328, 'startTime': '2016-11-26 15:19:23', 'maxTile': 2048, 'moves': 1985}
{'statesScanned': 198565, 'win?': 0, 'timeTaken': '0:00:31.200000', 'score': 2156, 'startTime': '2016-11-26 15:20:19', 'maxTile': 1024, 'moves': 981}
{'statesScanned': 310890, 'win?': 1, 'timeTaken': '0:00:48.855000', 'score': 3520, 'startTime': '2016-11-26 15:20:52', 'maxTile': 2048, 'moves': 1571}
{'statesScanned': 240012, 'win?': 1, 'timeTaken': '0:00:37.248000', 'score': 2510, 'startTime': '2016-11-26 15:21:41', 'maxTile': 2048, 'moves': 1135}
{'statesScanned': 190630, 'win?': 0, 'timeTaken': '0:00:29.687000', 'score': 1996, 'startTime': '2016-11-26 15:22:20', 'maxTile': 1024, 'moves': 919}
{'statesScanned': 324440, 'win?': 1, 'timeTaken': '0:00:51.469000', 'score': 3948, 'startTime': '2016-11-26 15:22:50', 'maxTile': 2048, 'moves': 1797}
{'statesScanned': 154310, 'win?': 0, 'timeTaken': '0:00:23.877000', 'score': 1524, 'startTime': '2016-11-26 15:23:43', 'maxTile': 1024, 'moves': 692}
{'statesScanned': 282673, 'win?': 1, 'timeTaken': '0:00:44.726000', 'score': 3450, 'startTime': '2016-11-26 15:24:08', 'maxTile': 2048, 'moves': 1561}
{'statesScanned': 111211, 'win?': 0, 'timeTaken': '0:00:17.151000', 'score': 1038, 'startTime': '2016-11-26 15:24:53', 'maxTile': 512, 'moves': 463}
{'statesScanned': 272359, 'win?': 1, 'timeTaken': '0:00:43.221000', 'score': 3220, 'startTime': '2016-11-26 15:25:12', 'maxTile': 2048, 'moves': 1464}
{'statesScanned': 105856, 'win?': 0, 'timeTaken': '0:00:16.438000', 'score': 1016, 'startTime': '2016-11-26 15:25:56', 'maxTile': 512, 'moves': 467}
{'statesScanned': 136006, 'win?': 0, 'timeTaken': '0:00:21.594000', 'score': 1600, 'startTime': '2016-11-26 15:26:13', 'maxTile': 1024, 'moves': 718}
{'statesScanned': 331958, 'win?': 1, 'timeTaken': '0:00:53.131000', 'score': 4110, 'startTime': '2016-11-26 15:26:36', 'maxTile': 2048, 'moves': 1849}
{'statesScanned': 252786, 'win?': 1, 'timeTaken': '0:00:40.420000', 'score': 3120, 'startTime': '2016-11-26 15:27:30', 'maxTile': 2048, 'moves': 1399}
{'statesScanned': 231608, 'win?': 1, 'timeTaken': '0:00:36.910000', 'score': 2732, 'startTime': '2016-11-26 15:28:11', 'maxTile': 2048, 'moves': 1230}
{'statesScanned': 321868, 'win?': 1, 'timeTaken': '0:00:51.806000', 'score': 3944, 'startTime': '2016-11-26 15:28:49', 'maxTile': 2048, 'moves': 1803}
{'statesScanned': 220259, 'win?': 0, 'timeTaken': '0:00:34.338000', 'score': 2460, 'startTime': '2016-11-26 15:29:42', 'maxTile': 1024, 'moves': 1121}
{'statesScanned': 390044, 'win?': 1, 'timeTaken': '0:01:02.466000', 'score': 4866, 'startTime': '2016-11-26 15:30:17', 'maxTile': 4096, 'moves': 2206}
{'statesScanned': 288032, 'win?': 1, 'timeTaken': '0:00:46.608000', 'score': 3288, 'startTime': '2016-11-26 15:31:21', 'maxTile': 2048, 'moves': 1483}
{'statesScanned': 224467, 'win?': 0, 'timeTaken': '0:00:36.275000', 'score': 2412, 'startTime': '2016-11-26 15:32:08', 'maxTile': 1024, 'moves': 1096}
{'statesScanned': 257713, 'win?': 1, 'timeTaken': '0:00:41.385000', 'score': 3290, 'startTime': '2016-11-26 15:32:46', 'maxTile': 2048, 'moves': 1501}
{'statesScanned': 299417, 'win?': 1, 'timeTaken': '0:00:47.095000', 'score': 3492, 'startTime': '2016-11-26 15:33:28', 'maxTile': 2048, 'moves': 1589}
{'statesScanned': 191642, 'win?': 0, 'timeTaken': '0:00:30.482000', 'score': 2304, 'startTime': '2016-11-26 15:34:16', 'maxTile': 1024, 'moves': 1052}
{'statesScanned': 279950, 'win?': 1, 'timeTaken': '0:00:44.749000', 'score': 3432, 'startTime': '2016-11-26 15:34:48', 'maxTile': 2048, 'moves': 1567}
{'statesScanned': 191520, 'win?': 0, 'timeTaken': '0:00:30.181000', 'score': 2188, 'startTime': '2016-11-26 15:35:33', 'maxTile': 1024, 'moves': 983}
{'statesScanned': 324350, 'win?': 1, 'timeTaken': '0:00:50.775000', 'score': 3722, 'startTime': '2016-11-26 15:36:05', 'maxTile': 2048, 'moves': 1700}
{'statesScanned': 256623, 'win?': 1, 'timeTaken': '0:00:41.074000', 'score': 3126, 'startTime': '2016-11-26 15:36:56', 'maxTile': 2048, 'moves': 1412}
{'statesScanned': 410068, 'win?': 1, 'timeTaken': '0:01:08.415000', 'score': 5328, 'startTime': '2016-11-26 15:37:39', 'maxTile': 4096, 'moves': 2412}
{'statesScanned': 260740, 'win?': 1, 'timeTaken': '0:00:40.806000', 'score': 2944, 'startTime': '2016-11-26 15:38:48', 'maxTile': 2048, 'moves': 1331}
{'statesScanned': 285289, 'win?': 1, 'timeTaken': '0:00:44.585000', 'score': 3174, 'startTime': '2016-11-26 15:39:30', 'maxTile': 2048, 'moves': 1448}
{'statesScanned': 161403, 'win?': 0, 'timeTaken': '0:00:26.838000', 'score': 2096, 'startTime': '2016-11-26 15:40:15', 'maxTile': 1024, 'moves': 947}
